"Nr","Firma","URL","Mitarbeiter","Gruendung","Street","ZIP","City","Country","Typ"
"1","Porsche","https://www.porsche.com/germany/aboutporsche/service/porschedigitallab/","","2016-09-01","Stralauer Allee 12","10245","Berlin","Germany","Subunternehmen"
"2","Unicorn Village","https://www.unicorn.de/spaces/village/","","2019-01-01","Richardstrasse 85/86","12043","Berlin","Germany","Workspace as Service"
