"","Nr","Firma","URL","Mitarbeiter","Gruendung","Street","ZIP","City","Country","Typ","Lon","Lat","Class"
"1",1,"Porsche","https://www.porsche.com/germany/aboutporsche/service/porschedigitallab/",NA,"2016-09-01","Stralauer Allee 12",10245,"Berlin","Germany","Subunternehmen",13.4619953198562,52.5047832803084,"place"
"2",2,"Unicorn Village","https://www.unicorn.de/spaces/village/",NA,"2019-01-01","Richardstrasse 85/86",12043,"Berlin","Germany","Workspace as Service",13.4376090372315,52.4798517621961,"place"
